VG,x_cm,psi_V,n_cm-3,p_cm-3,phin_V,phip_V,is_oxide
0.6,2.267324e-07,0.226020,6.265728e+13,1.595984e+06,0.000000,0.000000,0
0.6,2.489595e-07,0.225097,6.045991e+13,1.653988e+06,0.000000,0.000000,0
0.6,2.729647e-07,0.224101,5.817518e+13,1.718946e+06,0.000000,0.000000,0
0.6,2.988903e-07,0.223027,5.580672e+13,1.791899e+06,-0.000000,-0.000000,0
0.6,3.268900e-07,0.221868,5.335939e+13,1.874084e+06,0.000000,0.000000,0
0.6,3.571296e-07,0.220617,5.083937e+13,1.966980e+06,0.000000,0.000000,0
0.6,3.897885e-07,0.219268,4.825424e+13,2.072357e+06,0.000000,0.000000,0
0.6,4.250600e-07,0.217812,4.561302e+13,2.192356e+06,0.000000,0.000000,0
0.6,4.631533e-07,0.216243,4.292625e+13,2.329577e+06,0.000000,0.000000,0
0.6,5.042940e-07,0.214551,4.020595e+13,2.487194e+06,0.000000,0.000000,0
0.6,5.487259e-07,0.212726,3.746560e+13,2.669115e+06,0.000000,0.000000,0
0.6,5.967125e-07,0.210758,3.472004e+13,2.880181e+06,0.000000,0.000000,0
0.6,6.485379e-07,0.208637,3.198535e+13,3.126431e+06,0.000000,0.000000,0
0.6,7.045094e-07,0.206351,2.927859e+13,3.415465e+06,0.000000,0.000000,0
0.6,7.649586e-07,0.203888,2.661760e+13,3.756912e+06,0.000000,0.000000,0
0.6,8.302438e-07,0.201234,2.402061e+13,4.163091e+06,0.000000,0.000000,0
0.6,9.007517e-07,0.198375,2.150588e+13,4.649892e+06,0.000000,0.000000,0
0.6,9.769003e-07,0.195296,1.909121e+13,5.238013e+06,0.000000,0.000000,0
0.6,1.059141e-06,0.191981,1.679351e+13,5.954683e+06,0.000000,0.000000,0
0.6,1.147961e-06,0.188413,1.462822e+13,6.836100e+06,0.000000,0.000000,0
0.6,1.243886e-06,0.184572,1.260888e+13,7.930919e+06,0.000000,0.000000,0
0.6,1.347485e-06,0.180441,1.074655e+13,9.305314e+06,0.000000,0.000000,0
0.6,1.459372e-06,0.175997,9.049455e+12,1.105039e+07,0.000000,0.000000,0
